"","uniq.Subject","QueryID","n","mean.Perc.Ident","sd.Perc.Ident","uniq.Subject.Type","genus"
"52","KF482084.1","ASV387",1,100,NA,"Plant","Triticum"
"53","Cladosporium_flabelliforme|HM148092|SH2320220.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_flabelliforme","ASV1",1,100,NA,"Fungi",NA
"54","Papiliotrema_frias|FM178254|SH1650816.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_frias","ASV10",1,100,NA,"Fungi",NA
"55","Cercospora_sojina|JX143659|SH1975056.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Cercospora;s__Cercospora_sojina","ASV100",1,100,NA,"Fungi",NA
"56","Phaeosphaeria_sp|MF683451|SH1646367.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__Phaeosphaeria_sp","ASV1000",1,95.631,NA,"Fungi",NA
"57","Fungi_sp|JX042723|SH1648572.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp","ASV1001",1,99.669,NA,"Fungi",NA
"58","Stagonospora_foliicola|KF251256|SH1525153.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__Stagonospora;s__Stagonospora_foliicola","ASV1002",1,100,NA,"Fungi",NA
"59","Ascomycota_sp|JN650519|SH1557301.08FU|reps|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Ascomycota_sp","ASV1003",1,98.661,NA,"Fungi",NA
"60","Bipolaris_cynodontis|JX256412|SH1890301.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Bipolaris;s__Bipolaris_cynodontis","ASV1004",1,100,NA,"Fungi",NA
"61","Mycosphaerella_latebrosa|UDB0294537|SH1576175.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_latebrosa","ASV1005",1,100,NA,"Fungi",NA
"62","Alternaria_multirostrata|KJ718195|SH1890300.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_multirostrata","ASV1006",1,100,NA,"Fungi",NA
"63","Limonomyces_sp|UDB0316570|SH2734136.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae;g__Limonomyces;s__Limonomyces_sp","ASV1007",1,86.972,NA,"Fungi",NA
"64","Coniothyrium_sp|MH019922|SH1554288.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Coniothyrium;s__Coniothyrium_sp","ASV1008",1,99.048,NA,"Fungi",NA
"65","Endoconidioma_populi|AY604526|SH1515066.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideaceae;g__Endoconidioma;s__Endoconidioma_populi","ASV1009",1,97.908,NA,"Fungi",NA
"66","Tremellales_sp|KY432747|SH1528238.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__unidentified;g__unidentified;s__Tremellales_sp","ASV101",1,96,NA,"Fungi",NA
"67","Phaeosphaeria_typharum|MK595574|SH1524238.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__Phaeosphaeria_typharum","ASV1010",1,100,NA,"Fungi",NA
"68","Taphrina_deformans|LC312420|SH1519968.08FU|reps|k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__Taphrina_deformans","ASV1011",1,84.532,NA,"Fungi",NA
"69","Polyporaceae_sp|JN645088|SH1565954.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__unidentified;s__Polyporaceae_sp","ASV1012",1,97.368,NA,"Fungi",NA
"70","Pleosporales_sp|DQ420936|SH1525116.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp","ASV1013",1,94.286,NA,"Fungi",NA
"71","Fungi_sp|Z73801|SH1518627.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp","ASV1014",1,96.507,NA,"Fungi",NA
"72","Plagiostoma_salicicola|MF190162|SH2013543.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Gnomoniaceae;g__Plagiostoma;s__Plagiostoma_salicicola----Ophiognomonia_micromegala|JQ414271|SH1596948.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Gnomoniaceae;g__Ophiognomonia;s__Ophiognomonia_micromegala","ASV1015",2,97.198,1.97989898732233,"Fungi",NA
"73","Alternaria_metachromatica|JQ693660|SH1505864.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_metachromatica","ASV1016",1,99.174,NA,"Fungi",NA
"74","Hannaella_luteola|AF444323|SH1522791.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_luteola","ASV1019",1,99.429,NA,"Fungi",NA
"75","Fungi_sp|EF505552|SH1595861.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp","ASV102",1,99.526,NA,"Fungi",NA
"76","Fungi_sp|UDB0453878|SH3326153.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp","ASV1020",1,93.388,NA,"Fungi",NA
"77","Fusarium_langsethiae|AB587021|SH1610165.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_langsethiae----Fusarium_sporotrichioides|KC254054|SH1567483.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_sporotrichioides","ASV1021",2,95.652,0,"Fungi",NA
"78","Eutypella_citricola|JQ411347|SH1614262.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Diatrypaceae;g__Eutypella;s__Eutypella_citricola","ASV1022",1,97.273,NA,"Fungi",NA
"79","Trichomerium_dioscoreae|KP004468|SH1597914.08FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Trichomerium;s__Trichomerium_dioscoreae","ASV1023",1,100,NA,"Fungi",NA
"80","Papiliotrema_aurea|AB035045|SH1576893.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_aurea","ASV1026",1,99.119,NA,"Fungi",NA
"81","Didymella_ocimicola|KY742078|SH1712387.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Didymella;s__Didymella_ocimicola","ASV1027",1,98.312,NA,"Fungi",NA
"82","Murispora_hawksworthii|KT736086|SH1846806.08FU|refs_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Amniculicolaceae;g__Murispora;s__Murispora_hawksworthii","ASV1028",1,97.797,NA,"Fungi",NA
"83","Dioszegia_rishiriensis|KY103358|SH1609782.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__Dioszegia_rishiriensis","ASV1029",1,100,NA,"Fungi",NA
"84","Helotiales_sp|UDB0557995|SH1522980.08FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified;s__Helotiales_sp","ASV103",1,97.03,NA,"Fungi",NA
"85","Phaeosphaeriaceae_sp|UDB026433|SH1646343.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__unidentified;s__Phaeosphaeriaceae_sp","ASV1030",1,93.277,NA,"Fungi",NA
"86","Discula_destructiva|AF429741|SH1596916.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Gnomoniaceae;g__Discula;s__Discula_destructiva","ASV1031",1,98.305,NA,"Fungi",NA
"87","Alternaria_metachromatica|JQ693660|SH1505864.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_metachromatica","ASV1032",1,99.177,NA,"Fungi",NA
"88","Dothideales_sp|AB476477|SH1542970.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__unidentified;g__unidentified;s__Dothideales_sp","ASV1033",1,93.274,NA,"Fungi",NA
"89","Pleosporales_sp|DQ420936|SH1525116.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp","ASV1034",1,99.048,NA,"Fungi",NA
"90","Spiculogloeomycetes_sp|MK050380|SH2712210.08FU|reps|k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes;o__unidentified;f__unidentified;g__unidentified;s__Spiculogloeomycetes_sp","ASV1035",1,84.19,NA,"Fungi",NA
"91","Pleurophragmium_sp|UDB099243|SH1539609.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Pleurophragmium;s__Pleurophragmium_sp","ASV1036",1,99.495,NA,"Fungi",NA
"92","Stagonosporopsis_dennisii|GU237899|SH1920712.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Stagonosporopsis;s__Stagonosporopsis_dennisii----Stagonosporopsis_loticola|GU237890|SH1920676.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Stagonosporopsis;s__Stagonosporopsis_loticola","ASV1037",2,99.58,0,"Fungi",NA
"93","Oculimacula_yallundae|AY266169|SH1545871.08FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Oculimacula;s__Oculimacula_yallundae","ASV1038",1,96.491,NA,"Fungi",NA
"94","Pleosporales_sp|UDB0299368|SH1524265.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp","ASV1039",1,99.512,NA,"Fungi",NA
"95","Aureobasidium_leucospermi|JN712489|SH2150008.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__Aureobasidium_leucospermi","ASV104",1,98.707,NA,"Fungi",NA
"96","Papiliotrema_aurea|AB035045|SH1576893.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_aurea","ASV1040",1,99.119,NA,"Fungi",NA
"97","Pleosporales_sp|KJ417827|SH1646328.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp","ASV1042",1,97.696,NA,"Fungi",NA
"98","Spizellomycetales_sp|UDB0176321|SH3335582.08FU|reps|k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales;f__unidentified;g__unidentified;s__Spizellomycetales_sp","ASV1043",1,96.793,NA,"Fungi",NA
"99","Pleurophragmium_sp|UDB099243|SH1539609.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Pleurophragmium;s__Pleurophragmium_sp","ASV1044",1,98.964,NA,"Fungi",NA
"100","Aureobasidium_leucospermi|JN712489|SH2150008.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__Aureobasidium_leucospermi","ASV1045",1,94.444,NA,"Fungi",NA
"101","Paraphoma_pye|KU999073|SH1576179.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Paraphoma;s__Paraphoma_pye","ASV1046",1,99.49,NA,"Fungi",NA
"102","Neoerysiphe_galeopsidis|AB498940|SH1528152.08FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Neoerysiphe;s__Neoerysiphe_galeopsidis","ASV1047",1,100,NA,"Fungi",NA
"103","Parastagonospora_sp|MG265958|SH1525147.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Parastagonospora;s__Parastagonospora_sp","ASV1048",1,93.72,NA,"Fungi",NA
"104","Helotiales_sp|KT270104|SH1522990.08FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified;s__Helotiales_sp","ASV1049",1,93.229,NA,"Fungi",NA
"105","Filobasidium_oeirense|AF444349|SH2076848.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_oeirense","ASV105",1,100,NA,"Fungi",NA
"106","Phialocephala_urceolata|EU155145|SH1647322.08FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Vibrisseaceae;g__Phialocephala;s__Phialocephala_urceolata","ASV1050",1,100,NA,"Fungi",NA
"107","Naevala_sp|JN120378|SH1509539.08FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Naevala;s__Naevala_sp","ASV1053",1,98.477,NA,"Fungi",NA
"108","Ramularia_plurivora|KJ504780|SH2337206.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_plurivora","ASV1054",1,98.206,NA,"Fungi",NA
"109","Oculimacula_yallundae|AY266169|SH1545871.08FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Oculimacula;s__Oculimacula_yallundae","ASV1055",1,97.38,NA,"Fungi",NA
"110","Dioszegia_changbaiensis|AY242817|SH1609784.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__Dioszegia_changbaiensis","ASV1056",1,97.015,NA,"Fungi",NA
"111","Phaeosphaeria_sp|MF683451|SH1646367.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__Phaeosphaeria_sp","ASV1057",1,96.098,NA,"Fungi",NA
"112","Pleosporales_sp|UDB099762|SH1525091.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp","ASV1058",1,99.015,NA,"Fungi",NA
"113","Tilletia_indica|MT497998|SH1507096.08FU|reps|k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Tilletiales;f__Tilletiaceae;g__Tilletia;s__Tilletia_indica","ASV1059",1,99.013,NA,"Fungi",NA
"114","Papiliotrema_aurea|AB035045|SH1576893.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_aurea","ASV106",1,99.119,NA,"Fungi",NA
"115","Ramularia_plurivora|KJ504780|SH2337206.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_plurivora----Ramularia_tovarae|KJ504807|SH1975259.08FU|refs_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_tovarae","ASV1060",2,96.875,0,"Fungi",NA
"116","Microstroma_bacarum|KY104729|SH1540544.08FU|refs|k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Microstromatales;f__Microstromataceae;g__Microstroma;s__Microstroma_bacarum","ASV1061",1,97.879,NA,"Fungi",NA
"117","Pleosporales_sp|DQ420936|SH1525116.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp","ASV1062",1,99.048,NA,"Fungi",NA
"118","Phaeosphaeriaceae_sp|UDB0453331|SH2723992.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__unidentified;s__Phaeosphaeriaceae_sp","ASV1063",1,100,NA,"Fungi",NA
"119","Trichaptum_biforme|UDB0639122|SH1539680.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetales_fam_Incertae_sedis;g__Trichaptum;s__Trichaptum_biforme","ASV1064",1,99.231,NA,"Fungi",NA
"120","Fusarium_langsethiae|AB587021|SH1610165.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_langsethiae----Fusarium_sporotrichioides|KC254054|SH1567483.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_sporotrichioides","ASV1065",2,97.073,0,"Fungi",NA
"121","Keissleriella_taminensis|LC014564|SH1564713.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Keissleriella;s__Keissleriella_taminensis","ASV1066",1,99.512,NA,"Fungi",NA
"122","Pleosporales_sp|UDB0310781|SH1555350.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp","ASV1067",1,97.619,NA,"Fungi",NA
"123","Paraconiothyrium_thysanolaenae|KP744453|SH2177379.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Paraconiothyrium;s__Paraconiothyrium_thysanolaenae","ASV1068",1,98.198,NA,"Fungi",NA
"124","Symmetrospora_sp|AY479978|SH2044326.08FU|refs|k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Symmetrosporaceae;g__Symmetrospora;s__Symmetrospora_sp","ASV1069",1,99.24,NA,"Fungi",NA
"125","Hannaella_oryzae|NR_111063|SH2964219.08FU|refs_singleton|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_oryzae----Hannaella_oryzae|AF314986|SH1522793.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_oryzae","ASV107",2,99.465,0,"Fungi",NA
"126","Tremellales_sp|KY432747|SH1528238.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__unidentified;g__unidentified;s__Tremellales_sp","ASV1070",1,97.768,NA,"Fungi",NA
"127","Tremellales_sp|KM216348|SH1574513.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__unidentified;g__unidentified;s__Tremellales_sp","ASV1071",1,97.656,NA,"Fungi",NA
"128","Aureobasidium_pullulans|AJ244232|SH1515060.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__Aureobasidium_pullulans","ASV1072",1,99.539,NA,"Fungi",NA
"129","Valsa_fabianae|EU301054|SH1540704.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Valsaceae;g__Valsa;s__Valsa_fabianae","ASV1073",1,94.531,NA,"Fungi",NA
"130","Cadophora_sp|UDB0348029|SH1545891.08FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Cadophora;s__Cadophora_sp","ASV1074",1,96.341,NA,"Fungi",NA
"131","Pleosporales_sp|DQ420936|SH1525116.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp","ASV1075",1,99.048,NA,"Fungi",NA
"132","Pleosporales_sp|DQ420936|SH1525116.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp","ASV1076",1,99.048,NA,"Fungi",NA
"133","Lasiosphaeriaceae_sp|UDB0425372|SH1567861.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__unidentified;s__Lasiosphaeriaceae_sp","ASV1077",1,99.517,NA,"Fungi",NA
"134","Stemphylium_trifolii|KU850647|SH1890313.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Stemphylium;s__Stemphylium_trifolii","ASV1078",1,93.724,NA,"Fungi",NA
"135","Dictyosporium_heptasporum|KY364613|SH1646220.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Dictyosporiaceae;g__Dictyosporium;s__Dictyosporium_heptasporum","ASV1079",1,95.5,NA,"Fungi",NA
"136","Ophiognomonia_asiatica|JQ414241|SH1596911.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Gnomoniaceae;g__Ophiognomonia;s__Ophiognomonia_asiatica","ASV108",1,99.528,NA,"Fungi",NA
"137","Filobasidium_stepposum|DQ222455|SH2525086.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_stepposum","ASV1080",1,97.179,NA,"Fungi",NA
"138","Aureobasidium_leucospermi|JN712489|SH2150008.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__Aureobasidium_leucospermi","ASV1081",1,98.276,NA,"Fungi",NA
"139","Chaetothyriales_sp|UDB066751|SH2722783.08FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__unidentified;g__unidentified;s__Chaetothyriales_sp","ASV1083",1,86.275,NA,"Fungi",NA
"140","Pleosporales_sp|UDB076742|SH1595856.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp","ASV1084",1,98.571,NA,"Fungi",NA
"141","Malassezia_restricta|AY743636|SH1515384.08FU|refs|k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia_restricta","ASV1085",1,99.697,NA,"Fungi",NA
"142","Tremellales_sp|KY432747|SH1528238.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__unidentified;g__unidentified;s__Tremellales_sp","ASV1087",1,98.206,NA,"Fungi",NA
