,names,length,ToRemove,Fungi,FungalName,Other,Plant,ChimeraNoResult
152,ASV1997,85,yes,,,,Triticum,
153,ASV1998,102,yes,,,,Triticum,chimera
154,ASV1999,86,yes,,,,,no hits
155,ASV2000,70,yes,,,,Triticum,
156,ASV2001,223,yes,,,,Triticum,
157,ASV2010,310,yes,,,Algae,,
158,ASV2018,351,yes,,,Algae,,
159,ASV2023,314,yes,,,Algae,,
160,ASV2032,239,,yes,Basidiomycota;Agaricomycotina;Dacrymycetes;Dacrymycetales;Dacrymycetaceae;Dacrymyces,,,
161,ASV2038,205,yes,,,,Triticum,
162,ASV2039,113,yes,,,,Triticum,
163,ASV2048,336,yes,,,Algae,,chimera
164,ASV2069,278,yes,,,,Triticum,chimera
165,ASV2070,117,yes,,,,Triticum,
166,ASV2071,267,yes,,,,,chimera
167,ASV2073,403,yes,,,Algae,,chimera
168,ASV2078,269,yes,,,Algae,,
169,ASV2083,54,yes,,,,,no hits
170,ASV2096,517,yes,,,,Triticum,chimera
171,ASV2109,313,yes,,,,,chimera
172,ASV2110,333,yes,,,Algae,,
173,ASV2118,334,yes,,,Algae,,
174,ASV2119,332,yes,,,Algae,,
175,ASV2138,291,yes,,,,,chimera
176,ASV2146,317,,yes,Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Steccherinaceae,,,
177,ASV2149,109,yes,,,,Triticum,
178,ASV2150,372,yes,,,,Triticum,
179,ASV2151,184,yes,,,,Triticum,chimera
180,ASV2152,320,yes,,,,Triticum,
181,ASV2153,119,yes,,,,Triticum,
182,ASV2156,386,yes,,,Algae,,
183,ASV2159,327,yes,,,,,chimera
184,ASV2160,328,yes,,,Algae,,
185,ASV2194,197,yes,,,,Triticum,chimera
186,ASV2195,321,yes,,,,Triticum,
187,ASV2196,66,yes,,,,Triticum,
188,ASV2201,346,yes,,,,,chimera
189,ASV2206,309,yes,,,Algae,,
190,ASV2207,353,yes,,,,,chimera
191,ASV2219,243,,yes,Ascomycota,,,
192,ASV2229,324,yes,,,,Triticum,
193,ASV2230,322,yes,,,,Triticum,
194,ASV2231,194,yes,,,,Triticum,chimera
195,ASV2232,198,yes,,,,Triticum,
196,ASV2234,335,yes,,,,Triticum,
197,ASV2235,118,yes,,,,Triticum,
198,ASV2237,180,,yes,Basidiomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales,,,
199,ASV2243,334,yes,,,Algae,,
200,ASV2244,295,yes,,,Algae,,
201,ASV2246,312,yes,,,Algae,,
202,ASV2252,237,,yes,Ascomycota;Pezizomycotina,,,
203,ASV2275,209,yes,,,,Triticum,
204,ASV2276,321,yes,,,,Triticum,
205,ASV2277,112,yes,,,,Triticum,
206,ASV2278,123,yes,,,,,no hits
207,ASV2279,168,yes,,,,Triticum,
208,ASV2280,349,yes,,,,Triticum,
209,ASV2281,258,yes,,,,,no hits
210,ASV2288,145,yes,,,,,chimera
211,ASV2296,386,yes,,,Algae,,
212,ASV2304,311,yes,,,,Triticum,
213,ASV2324,84,yes,,,,,no hits
214,ASV2325,297,yes,,,,Triticum,
215,ASV2327,121,yes,,,,Triticum,
216,ASV2329,195,yes,,,,,chimera
217,ASV2334,390,yes,,,,,chimera
218,ASV2345,324,yes,,,,Triticum,chimera
219,ASV2348,248,,yes,Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales,,,
220,ASV2354,237,,yes,Ascomycota;Pezizomycotina,,,
221,ASV2365,245,,yes,Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Parastagonospora;Parastagonospora nodorum,,,
222,ASV2368,60,yes,,,,Triticum,
223,ASV2371,451,yes,,,,Triticum,chimera
224,ASV2372,85,yes,,,,Triticum,
225,ASV2381,332,yes,,,Algae,,
226,ASV2385,540,yes,,,,Triticum,
227,ASV2401,85,yes,,,,Triticum,
228,ASV2402,83,yes,,,,Triticum,
229,ASV2410,314,yes,,,Algae,,
230,ASV2417,321,yes,,,,Triticum,
231,ASV2418,184,yes,,,,,no hits
232,ASV2419,118,yes,,,,Triticum,
233,ASV2422,347,yes,,,Algae,,
234,ASV2429,336,yes,,,Algae,,
235,ASV2446,249,,yes,Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales,,,
236,ASV2460,244,yes,,,,Triticum,
237,ASV2467,535,yes,,,,Triticum,chimera
238,ASV2468,113,yes,,,,Triticum,
239,ASV2469,180,yes,,,,Triticum,
240,ASV2470,84,yes,,,,Triticum,
241,ASV2476,313,yes,,,,,chimera
242,ASV2479,328,yes,,,Algae,,
243,ASV2482,382,yes,,,,,no hits
244,ASV2484,271,yes,,,Algae,,
245,ASV2499,321,yes,,,,Triticum,
246,ASV2527,245,,yes,Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Parastagonospora;Parastagonospora nodorum,,,
247,ASV2536,69,yes,,,,Triticum,
248,ASV2537,409,yes,,,,Triticum,
249,ASV2538,335,yes,,,,Triticum,
250,ASV2540,180,yes,,,,Triticum,
251,ASV2541,197,yes,,,,Triticum,
252,ASV2545,252,,yes,Ascomycota,,,
253,ASV2546,250,,yes,Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales,,,
254,ASV2552,267,yes,,,,,chimera
255,ASV2556,249,yes,,,,,chimera
256,ASV2559,253,yes,,,,,chimera
257,ASV2569,245,,yes,Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Parastagonospora;Parastagonospora nodorum,,,
258,ASV2573,240,,yes,Ascomycota;Pezizomycotina;Dothideomycetes;Acrospermales;Acrospermaceae,,,
259,ASV2584,507,yes,,,,Triticum,
260,ASV2585,409,yes,,,,Triticum,
261,ASV2586,114,yes,,,,Triticum,
262,ASV2587,153,yes,,,,Triticum,chimera
263,ASV2588,181,yes,,,,Triticum,
264,ASV2596,266,,yes,Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Rhynchogastremaceae;Papiliotrema,,,
265,ASV2599,303,yes,,,,,chimera
266,ASV2601,267,yes,,,,,chimera
267,ASV2603,336,yes,,,,,chimera
268,ASV2610,193,yes,,,Protist,,
269,ASV2629,263,yes,,,,,no hits
270,ASV2630,312,yes,,,,Triticum,
271,ASV2632,232,,yes,Ascomycota;Pezizomycotina,,,
272,ASV2635,249,,yes,Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Phaeosphaeriaceae,,,
273,ASV2643,245,,yes,Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Parastagonospora;Parastagonospora nodorum,,,
274,ASV2647,141,yes,,,,,no hits
275,ASV2649,174,yes,,,,Triticum,
276,ASV2650,84,yes,,,,Triticum,
277,ASV2651,314,yes,,,,Triticum,
278,ASV2652,83,yes,,,,,no hits
279,ASV2662,254,,yes,Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales,,,
280,ASV2668,195,yes,,,Protist,,
281,ASV2670,320,yes,,,,,chimera
282,ASV2714,322,yes,,,,,chimera
283,ASV2718,84,yes,,,,Triticum,
284,ASV2719,83,yes,,,,Triticum,
285,ASV2720,116,yes,,,,Triticum,
286,ASV2723,401,yes,,,Algae,,chimera
287,ASV2735,248,,yes,Fungal sp.,,,
288,ASV2757,248,,yes,Ascomycota,,,
289,ASV2780,85,yes,,,,Triticum,
290,ASV2781,119,yes,,,,Triticum,
291,ASV2782,374,yes,,,,Triticum,
292,ASV2783,70,yes,,,,Triticum,
293,ASV2784,73,yes,,,,Triticum,
294,ASV2790,239,,yes,Ascomycota;Pezizomycotina,,,
295,ASV2797,377,yes,,,Algae,,
296,ASV2798,346,yes,,,,,chimera
297,ASV2800,346,yes,,,Algae,,
298,ASV2804,337,yes,,,,,chimera
299,ASV2830,253,,yes,Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria,,,
300,ASV2843,245,,yes,Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales,,,
301,ASV2848,84,yes,,,,Triticum,
302,ASV2849,84,yes,,,,Triticum,
303,ASV2850,86,yes,,,,Triticum,
304,ASV2857,254,yes,,,,,chimera
305,ASV2860,169,yes,,,,,no hits
306,ASV2866,195,yes,,,,,chimera
307,ASV2880,237,,yes,Ascomycota;Pezizomycotina;Dothideomycetes,,,
308,ASV2889,70,yes,,,,Triticum,
309,ASV2890,237,,yes,Ascomycota;Pezizomycotina;Dothideomycetes,,,
310,ASV2900,84,yes,,,,Triticum,
311,ASV2901,177,yes,,,,Triticum,chimera
